1 Perlis, A. J.
102 Curtz, T. B.
103 Farbman, D.
104 Moore, C. J.
105 Price, R. A.
106 Collins, G. E.
107 Pope, D. A.
108 Dimsdale, B.
109 Lubkin, S.
110 Ferguson, D. E.
111 Ellenberger, K. W.
112 Ellenberger, K. W.
113 Bemer, R. W.
114 Smith, H. J.
115 Wheeling, R. F.
116 Rogers, J. L.
117 Nagler, H.
118 Speckhard, A. E.
119 Andrus, J. F.
120 Sefton, P.
121 Holt, A.
122 DeWitte, L.
123 Masterson Jr., K. S.
124 Silver, R.
125 Mackinney, J. G.
126 Mackinney, J. G.
127 Silver, R.
128 Herroit, J. G.
129 Forsythe, G. E.
130 Leavenworth, B.
131 Leavenworth, B.
132 Feurzeig, W.
133 Oser, H.
134 Borsch-Supan, W.
135 Reeves, R. F.
136 Ingerman, P. Z.
137 Swift, C. J.
138 Voorhees, E. A.
139 Kenyon, R. R.
140 Forsythe, G. E.
141 Yarbrough, L. D.
142 Sherman, P. M.
143 Romberg, A.
144 Bemer, R. W.
145 Hollingsworth, J.
146 Katz, D. L.
148 Reeves, R. F.
149 Dickson, J. C.
150 Floyd, R. W.
151 Sprague III, C. D.
152 Forsythe, G. E.
153 Blatt, J. M.
154 Berin, A.
155 Fredkin, E.
156 Rosin, R. F.
157 Reeves, R. F.
158 Thacher Jr., H. C.
159 Thacher Jr., H. C.
160 Thacher Jr., H. C.
161 Barrett, J. A.
162 Frieden, H.
163 Kutler, S. S.
164 Smith Jr., H. J.
165 Huskey, H. D.
166 Luebbert, W. F.
167 McIsaac, P.
168 Codd, E. F.
169 Holmstrom, J. E.
170 Voorhees, E. A.
171 Reeves, R. F.
172 Beam, A.
174 Neal, W. R.
175 Anderson, W. H.
176 Perlis, A. J.
177 Thacher Jr., H. C.
178 Thacher Jr., H. C.
179 Galler, G. M.
180 Galler, G. M.
181 Galler, G. M.
182 Galler, G. M.
183 Perry, C.
184 Robinson, S. M.
185 Codd, E. F.
186 Floyd, R. W.
187 Swift, C. J.
188 Berezin, I. S.
189 Booth, A. D.
191 Barrett, J. A.
192 Wegner, P.
193 Patrick, R. L.
194 Sarafyan, D.
195 Patterson, G. W.
197 Knuth, D. E.
198 Gurzi, F.
199 Claussen, R.
200 Clarke, D. S.
201 Clarke, D. S.
202 Senko, M. E.
203 Brown, R. M.
204 Wang, H.
205 McIlroy, M. D.
206 Green, J.
207 Smith, J. W.
208 Newell, A.
209 Perlis, A. J.
210 McCarthy, J.
211 Grems, M.
212 Gorn,S.
213 Schmittroth, L. A.
214 Floyd, R. W.
215 Brooks, F. P.
216 Kanner, H.
218 Painter, J. A.
219 Shuchter, J. P.
220 Traub, J. F.
221 Logan, W. A.
222 Lynch, W. C.
223 Pelta, H. N.
224 Samelson, K.
225 Greenwald, I. D.
226 Grau, A. A.
227 Wegstein, J.
228 Herbold, R. J.
229 Gruenberger, F.
230 Bemer, R. W.
231 Kent, E. R.
232 Frank, R. M.
233 Nather, V.
234 Speckhard, A. E.
235 Bagley, P. R.
236 Feigenbaum, E. A.
237 Robbins, D.
238 Garfinkel, D.
239 Verhoeff, J.
240 Graham, J. W.
241 Lechner, J. A.
242 Wilson, J. G.
243 Rubinoff, M.
244 Kriebel, D. C.
245 Herndon, J. R.
246 MacMillan, D. B.
247 Jefferson, D. K.
248 Smith, L. W.
249 Gorn, S.
250 Nickerson, R. C.
251 Archambault, M.
252 Dow, J.
253 Foata, D. C.
254 Bachelork, G. A.
255 Breed, L. M.
256 Dubay, G. H.
257 Knapp, A. W.
258 Hellerman, O.
259 Coveyou, R. R.
260 Mifsud, C. J.
261 Moore, D. P.
262 Moore, C. L.
263 Moore, D. P.
264 Reynolds, S. W.
265 Barnett, M. P.
266 Robinson, S. M.
267 Wilkes, M. V.
268 Cohen, L. J.
269 Riskin, B. N.
270 Kelley Jr., J. E.
271 Heising, W. P.
272 Jensen, J.
273 Collins Jr., G. O.
274 Fotheringham, J.
275 Sams, B. H.
276 Holt, A. W.
277 Maher, R. J.
278 Roberts Jr., A. E.
279 Sams, B. H.
280 O'Neil, R. W.
281 Feurzeig, W.
282 Hutchinson, K.
283 Tornheim, L.
284 Rom, A. R. M.
285 Wenrick, R. C.
286 Bramhall, J. N.
287 Shapiro, N.
288 Taylor, W.
289 Alexander, N. P.
290 Mayoh, B. H.
291 Hoffman, J.
292 Kehl, W. B.
293 Richstone, M.
294 Knuth, D.
295 Clendenin, W. W.
296 Cox, A. G.
297 Marcus, C. F.
298 Kuehn, H. G.
299 Reynolds, S. W.
300 Mackinson, T. N.
301 Gilbert, H. E.
302 Rice, H. G.
303 Gorn, S.
304 Nestor Jr., C. W.
305 Caffrey, J.
306 Caffery, J.
307 Hoare, C. A. R.
308 Hoare, C. A. R.
309 Hoare, C. A. R.
310 Herndon, J. R.
311 Gibb, A.
312 Olivier, D.
313 Bramhall, J. N.
314 Clarkson, W. K.
315 Wenrick, R. C.
316 Arden, B. W.
317 Bellman, R.
318 Fischer, C. M.
319 Traub, J. F.
320 Cantrell, H. N.
321 Knuth, D. E.
322 Bright, H. S.
323 Blachman, N. M.
324 Bauer, F. L.
325 Alexander, W. J.
326 Ranshaw, R. W.
327 Bareiss, E. H.
328 Cohen, D.
329 Edmundson, H. P.
330 Baker, F. B.
331 Bellman, R.
332 Johnson, L. R.
333 Bemer, R. W.
334 Nadler, M.
335 Bellman, R.
336 Kulsrud, H. E.
337 Ross, H. M.
338 Thacher Jr., H.C.
339 Alexander, W. J.
340 Herndon, J.
341 Herndon, J.
342 Herndon, J.
343 Herndon, J.
344 Herndon, J. R.
345 Herndon, J. R.
346 Herndon, J. R.
347 Herndon, J. R.
348 Herndon, J. R.
349 Herndon, J. R.
350 Herndon, J. R.
351 Herndon, J. R.
352 Herndon, J. R.
353 Herndon, J. R.
354 Herndon, J. R.
355 Herndon, J. R.
356 Ingerman, P. Z.
357 Wojcicki, M. E.
358 Thacher Jr., H. C.
359 Wood, T. C.
360 Solomon, J. G.
361 Weinberg, G. M.
362 Sherman, P. M.
363 Karst, E.
364 Nather, R. E.
365 Gray, M. C.
366 Smith, O. K.
367 Lasser, D. J.
368 Collinge, R. M.
369 Thacher Jr., H. C.
370 Rader, P. J.
371 Wilkinson, J. H.
372 Leavenworth, B.
373 Sassouni, P.
374 Brons, K. A.
375 Brons, K. A.
376 Gianni, A. J.
377 Wood, T. C.
378 Ross, D. T.
379 Strachey, C.
380 Traub, J. F.
381 Bratman, H.
382 Bush, N.
383 Caldwell, T.
384 Lipp, M. F.
385 Lipp, M. F.
386 Freeman Jr., R. D.
387 Collinge,R. M.
388 Vandergraft, J. S.
389 Peavy, S.
390 Rader, P. J.
391 Smith, R. B.
392 Nekora, M. R.
393 Carr III, J. W.
394 Ryle, B. L.
395 Rabinowitz, P.
396 Jacoby, K.
397 Grems, M.
398 Sibley, R. A.
399 Huskey, H. D.
400 Irons, E. T.
401 Sattley, K.
402 Ingerman, P. Z.
403 Ingerman, P. Z.
404 Irons, E. T.
405 Floyd, R. W.
406 Evans Jr., A.
407 Wells, M. B.
408 Arden, B. W.
409 Cheatham Jr., T. E.
410 Englund, D.
411 Bottenbruch, H.
412 Gray, A. A.
413 Huskey, H. D.
414 Wheeling, R.
415 Schuff, H. K.
416 Morrison, D. D.
417 Freed, R. N.
418 Behrenz, P. G.
419 Thacher Jr., H. C.
420 Phillips, E. S.
421 Hacker, R.
422 Grench, R. E.
423 Behrenz, P. G.
424 Behrenz, P. G.
425 Merner, J. N.
426 Collison, D. M.
427 Amit, D.
428 McKeeman, W. M.
429 McKeeman, W. M.
430 Kaupe Jr.,A. F.
431 Kaupe Jr., A. F.
432 Hafley, W. L.
433 Sonquist, J. A.
434 Poore Jr., J. H.
435 Vasilakos, G. J.
436 Knuth, D. E.
437 Galler, B. A.
438 Gorn, S.
439 Stark, L.
440 Newcombe, H. B.
441 Kahn, A. B.
442 McKeeman, W. M.
443 Erwin Jr.,G. W.
444 May, R. W.
445 May, R. W.
446 Behrenz, P. G.
447 Williams, M. R.
448 Ingerman, P. Z.
449 Ingerman, P. Z.
450 Peck, J. E. L.
451 Dahm, D. M.
452 Dahm, D. M.
453 Wells, M.
454 McKeeman, W. M.
455 Fettis, H. E.
456 Behrenz, P. G.
457 Browne, J. C.
458 Smith, V. H.
459 Eaves, Lt. B. C.
460 Whitley, V. W.
461 Lipkin, M.
462 Stark,L.
463 Floyd, R. W.
464 Barnett, M. P.
465 Schrack, G. F.
466 George, R.
467 Schrack, G. F.
468 Jefferson, D. K.
469 Hellberg, L.
470 Wells, M.
471 Walsh, P. J.
472 Counts, J. W.
473 Rutishauser, H.
474 Yarbrough, L.D.
475 Pei, M. L.
476 Nadler, M.
477 Muller, M. E.
478 Baecker, H.D.
479 Mendoza, A. G.
480 Salzer, H. E.
481 Armerding, G. W.
482 Feldman, J.
483 Floyd, R. W.
484 Schaefer, L. J.
485 Crawford, M.
486 Dietzel, G. F.
487 Shafer,D.
488 Weil, J. W.
489 Shaffer, S. S.
490 Garfinkel, D.
491 Penny, J. P.
492 Schay Jr., G.
493 McGee, W. C.
494 Luther, H. A.
495 Busing, W. R.
496 Brenner, J. L.
497 Gluss, B.
498 Collison, D. M.
499 Collison, D. M.
500 Collison, D. M.
501 Hillmore, J. S.
502 George, R.
503 Collison, D. M.
504 Hillmore, J. S.
505 Collison, D. M.
506 Hillmore, J. S.
507 Hillmore, J. S.
508 George, R.
509 Struble, G.
510 Thacher Jr., H. C.
511 Hillmore, J. S.
512 Thacher Jr., H. C.
513 Hillmore, J. S.
514 George, R.
515 Thacher Jr., H. C.
516 George, R.
517 Eisenman, B.
518 Collison, D. M.
519 Collison, D. M.
520 Smith, R. L.
521 Trotter, H. F.
522 Stockmal, F.
523 Floyd,R. W.
524 Shimrat, M.
525 Howell, J. R.
526 Pyle, I. C.
527 Banerji, R. B.
528 Robbins, D. K.
529 Robison, D. E.
530 Siler, W.
531 Phillips Jr., W.
532 Fraser, W.
533 Peabody, P. R.
534 Salzer, H. E.
535 Onoe, M.
536 Baer, R. M.
537 Davis, M.
538 Kruglyak, Y. A.
539 Kruglyak, Y. A.
540 Kruglyak, Y. A.
541 Relph, A. P.
542 Relph, A. P.
543 Relph, A. P.
544 Relph, A. P.
545 George, R.
546 Johnson, M. L.
547 Johnson, M. L.
548 Kruglyak, Y. A.
549 Kruglyak, Y. A.
550 Kruglyak, Y. A.
551 Kruglyak, Y. A.
552 Counts, J. W.
553 Johnson, M. L.
554 Bauer, F. L.
555 Rutishausr, H.
556 Bottenbirruch, H. H
558 Larsen, L. J.
559 Appel, K.
560 Wegner, P.
561 Hanson, J. W.
562 Whittier, V. E.
563 Randell, B.
564 Relph, A. P.
565 Caffrey, J.
566 Conger, R. A.
567 Relph, A. P.
568 Relph, A. P.
569 Steck, B.
570 Kuncir, G. F.
571 Schrack, G. F.
572 Kiviat, P. J.
573 Kiviat, P. J.
574 Garland, S. J.
575 Pfaltz, J. L.
576 Floyd, R. W.
577 Floyd, R. W.
578 Stockmal, F.
579 Kurtzberg, J.
580 Perstein, M. H.
581 Jones, T. G.
582 Oster, C. A.
583 Thacher Jr., H. C.
584 Rabinowitz, I. N.
585 Landis, N.
586 Roek, D. J.
587 Buchner, K. H.
588 Newhouse, A.
589 Cundiff, J. L.
590 Cundiff, J. L.
591 Cundiff, J. L.
592 Mullen, J. W.
593 Mullin, J. P.
594 Bouman, C. A.
595 Greene, I.
596 Kesner, O.
597 Emery, J. C.
598 Hicks, W.
599 Donally, W. L.
600 Berman, R.
601 Siegel, M.
602 Lippitt, A.
603 Sammet, J. E.
604 Cunningham, J. F.
606 Kaiser, C. J.
607 Knuth, D.
608 Peck, J. E. L.
609 Brown, P. J.
610 Brown, P. J.
611 Howell, J. R.
612 Peck, J. E. L.
613 Evans, T. G.
614 Hennion, P. E.
615 Hellerman, H.
617 Wheeling, R. F.
618 Carlson, W. M.
619 Davidson, L.
620 Halstead, M. H.
621 Thacher Jr., H. C.
622 Mayoh, B. H.
623 Mayoh, B. H.
624 Mayoh, B. H.
625 Holsten, W.
626 Foster, M. B.
627 Weizenbaum, J.
628 Grau, A. A.
629 Lynch, W. C.
630 Ellis, P. V.
631 Ledley, R.S.
632 Forsythe, G. E.
633 Garfinkel, D.
634 Salton, G.
635 Baker, J. J.
636 Weisert, C.
637 Watt, J. B.
638 Longo, L. F.
639 Giammo, T. P.
640 Perry, C.
641 Hennion, P. E.
642 Schwarz, H. R.
643 Larson, R.
644 Wegstein, J. H.
645 Randell, B.
646 Randell, B.
647 Cohen, K. J.
648 Flores, I.
649 Peck, J. E. L.
650 Peck, J. E. L.
651 Grems, M.
652 Sable, J. D.
653 Cheatham Jr., T. E.
654 Barnes, R. F.
655 Yngve, V. H.
656 Wang, T. L.
657 Colilla, R. A.
658 Sammet, J. E.
659 Thacher Jr., H. C.
660 Englar, T. S.
661 Barnett, M. P.
662 Juelich, O. C.
663 Lapidus, A.
664 Witty, R. D.
665 Shantz, P. W.
666 Kase, R. H.
667 Lukehart, P. M.
668 Briggs, W. A.
669 Shaw, C. J.
670 Freed, R. N.
671 Sanders, M.
672 Leibowitz, G. J.
673 Eckert, J. B.
674 Andrews, A. C.
675 Gross, L. D.
676 Tang, I. C.
677 Knuth, D. E.
678 Katz,J. H.
679 Wells, M. B.
680 Irons, E. T.
681 Lomis, R. G.
682 Ayers, J. A.
683 Weimer, D. L.
684 Hennion, P. E.
685 Thacher Jr., H. C.
686 George, R.
687 Thacher Jr., H. C.
688 Simoes Pereira, J. M. S.
689 Gosden, J. A.
690 Traub, J. F.
691 Brown, S. A.
692 Stockmal, F. J.
693 Krolak, P.
694 Hess, H.
695 Carlson, B. G.
696 Edwards, J. D.
697 Dalrymple, G. V.
698 Marill, T.
699 Dayhoff, M. O.
700 Dwyer, T. A.
701 Schubert, G. R.
702 Filsak, Z.
703 Scowen, R. S.
704 Collins, D. H.
705 Blakely, R. E.
706 Schubert, G. R.
707 Ibbetson, D.
708 Gray, M. D.
709 Newhouse, A.
710 Gray, M. D.
711 Gray, M. D.
712 Schubert, G. R.
713 Schubert, G. R.
714 Ibbetson, D.
715 Foreman Jr., W. T.
716 Boothroyd, J.
717 Hutchinson, G.
718 Weinberg, G. M.
719 Rotenberg, N.
720 Bailey, M. J.
721  Rossheim, R. J.
725 McCormick, E. M.
726 Smillie, K. W.
727 Greenspan, D.
728 Knuth, D. E.
729 Wirth, N.
730 Gawlik, H. J.
731 Weizenbaum, J.
732 Rodman,R. D.
733 Thacher Jr., H. C.
734 Thacher Jr., H. C.
735 Thacher Jr., H. C.
736 Thacher Jr.,H. C.
737 Lawrence, J. D.
738 George, R.
739 Wasscher, E. J.
740 Wright, C. B.
741 Freed, B. H.
742 Freed, B. H.
743 Konda, M.
744 Haubrich, J. G. A.
745 Wasscher, E. J.
746 Wasscher, E. J.
747 Shen, M. K.
748 Chu, W. H.
749 Dumey, A. I.
750 Newbery, A. C. R.
751 Rodman, R. D.
752 Moore, D. P.
753 Egler, J. F.
754 Blatt, J. M.
755 Pope, D. A.
756 Danielson, W. A.
757 Katz, J. H.
758 Kahn, A. B.
759 Barnett, M. P.
760 Pyle, I. C.
761 Kaupe Jr., A. F.
762 DiForino, A. C.
763 Eickel, J.
764 Hennion, P. E.
765 Bitterli, C. V.
766 Fletcher, W. E.
767 Thoro, D.
768 Thoro, D.
769 Bosworth, K. M.
770 Bosworth, K. M.
771 Bosworth, K. M.
772 Lefkowitz, B.
773 George, R.
774 Naur, P.
775 Hennion, P. E.
776 Randell, B.
777 Naur, P.
778 George, R.
779 Domingo, C.
780 Naur, P.
781 Bridges, J. F.
782 Bridges, J. F.
783 Boothroyd, J.
784 George, R.
785 Tantzen, R. G.
786 McKeeman, W. M.
787 Wells, M.
788 Roman, R. D.
789 Thurnau, D. H.
790 Domingo, C.
791 Smith, D. D.
792 Keyes, D. F.
793 Baecker, H. D.
794 Bowlden, H. J.
795 Ferguson, H. E.
796 Lehman, M.
799 Conway, M. E.
800 McCarthy, J.
801 Synge, M. J.
802 Rutishauser, H.
803 Evans Jr., A.
804 Thacher Jr., H. C.
805 Kondo, J.
806 Moler, C.
807 Fettis, H. E.
808 Relph, A. P.
809 Relph, A. P.
810 Relph, A. P.
811 Rodriguez Gil, F.
812 Rodriguez-Gil, F.
813 Vande Riet, R. P.
814 Vande Riet, R. P.
815 Colker, A.
816 Colker, A.
817 Hopley, J.
818 Hellerman, H.
819 Eisman, S. H.
820 Gordon, R. M.
821 Juelich, O. C.
822 Head, R. V.
823 Huskey, H. D.
824 Kliphardt, R. A.
825 Rudloe, H.
826 Bennett, C. M.
827 Schick, T.
828 Cantrell, H. N.
829 Greniewski, M,
830 Conway, R. W.
831 Thacher Jr., H. C.
832 Isoda, K.
833 Schwartz, H. R.
834 McKeeman, W. M.
835 Thacher Jr., H. C.
836 Thacher Jr., H. C.
837 Ludwig, O. G.
838 Kaupe Jr., A. F.
839 Synge, M. J.
840 Arthurs, T. D.
841 Shaw, C. J.
842 Gibb, A.
843 Hajek, O.
844 Fedako,J. E.
845 Caffrey, J.
846 Sanborn, T. G.
847 Wall, E.
848 Bemer, R. W.
849 Sussenguth Jr., E. H.
850 Waks, D. J.
851 Goetz, M. A.
852 Hall, M. H.
853 Paterson, J. B.
854 Hubbard, G. U.
855 Goetz, M. A.
856 Falkin, J.
857 Glore, J. B.
858 Cooke, W. S.
859 French, N.C.
860 Goetz, M. A.
861 Gilstad, R. L.
862 Malcolm Jr., W. D.
863 Manker, H. H.
864 Hibbard, T. N.
865 Goetz, M. A.
866 Gotlieb, C. C.
867 Gluss, B.
868 Shoffner, M. G.
869 Thoro, D.
870 Barnecut, J. N. R.
871 Thacher Jr., H. C.
872 McKeeman, W. M.
873 Poore Jr., J. H.
874 Hale, R. P.
875 van De Riet, R. P.
876 Thacher, H. C.
877 Thacher Jr., H. C.
878 Hennion, P. E.
879 Kahan, W.
880 Kahan, W.
881 Kahan, W.
882 Rodman, R. D.
883 Thacher Jr., H. C.
884 Clark, R. E.
885 Fettis, H. E.
886 Stockton, F. G.
887 Wright, H. V.
888 Wolfson, M. L.
890 Fritz, W. B.
891 Whitley, V. W.
892 Climenson, W. D.
893 Goldstein, M.
894 Luther, H. A.
895 Scheinok, P. A.
896 Thompson, G. T.
897 Brown, P. J.
898 Laughlin, D. L.
899 Bosworth, K. M.
900 Thacher Jr., H. C.
901 Clark, E. S.
902 Digby, D. W.
903 Fettis, H. E.
904 Mifsud, C. J.
905 Mifsud, C. J.
906 Mifsud, C. J.
907 Mifsud, C. J.
908 LaSor, W. S.
909 Conway, M. E.
910 Mayer, R. J.
911 McIlroy, M. D.
912 Garber, M. J.
913 Halstead, M. H. 
914 Shaw, C. J.
915 Newell, A.
916 Heising, W. P.
917 Yngve, V. H.
918 Cunningham, J. F.
919 Naur, P.
920 Yngve, V. H.
921 Meyer, N. A.
922 Thacher Jr., H. C.
923 Bauer, F. L.
924 Hopley, J.
925 Walter, H. F.
926 Rutishauser, H.
927 White, W. C.
928 Lewis, T. S.
929 Grems, M.
930 Yarbrough, L. D.
931 Miller, J. C.
932 Naur, P.
933 Naur, P.
934 Naur, P.
935 Naur, P.
936 Naur, P.
937 Naur, P.
938 Naur, P.
939 Behrenz, P. G.
940 Marsaglia, G.
941 Cadwell, J. H.
942 Healy, M. J. R.
943 Grems, M.
944 Scidmore, A. K.
945 Conway, M. E.
946 Utman, R. E.
947 Woodger, M.
948 Healy, M. J. R.
949 Petrone, L.
950 Nievergelt, J.
951 Gargantini, I.
952 Drath, D. G.
953 Baker, J. J.
954 Smillie, K. W.
955 Cline, R. E.
956 Newbery, A. C. R.
957 Miller, J. A.
958 Synge, M. J.
959 Lubbert, W. F.
960 Garber, M. J.
961 Oster, C. A.
962 Cody, W. J.
963 White, P.
964 Wactlar, H. D.
965 Bray, T. A.
966 Hasselblad, V.
967 Clausen, I.
968 Halton, J. H.
969 Boothroyd, J.
970 Floyd, R. W.
971 Green, L. E. S.
972 Heistand, R. E.
973 Bellman, R.
974 Maher, A. S.
975 Traub, J. F.
976 Gray, M.
977 Oppenheim, D. K.
978 Lotsch, H.
979 Collens, D. S.
980 Maer, R. M.
981 Kelley, T. B.
982 Faulk, R. D.
988 Heising, W. P.
989 Iverson, K. E.
990 Wilkes, M. V.
991 Bray, T. A.
992 McCombs, V. K.
993 Priebe, K. B.
994 Blair, C. R.
995 Wallack, P.
996 Sag, T. W.
997 Jacobs, M. C.
998 Hamlin, K. B.
999 Hauptman, G. A.
1000 Kates, J. P.
1001 Lawlor, R. C.
1002 Whittlesey, J. R. B.
1003 Davids, N.
1004 Mills, K. W.
1005 Dorrer, E.
1006 Fitzwater, D. R.
1007 Benett, R. K.
1008 Schultz, C. K.
1009 Weinberg, G. M.
1010 Dennis, J. B.
1011 Collens, D. S.
1012 Greibach, S. A.
1013 Broder, S.
1014 Weldon, R. J.
1015 Fraser, W.
1017 Bemer, R. W.
1018 Pike, M. C.
1019 Cavin, D. K.
1020 McKeeman, W. M.
1021 Reeves, C. M.
1022 Peck, J. E. L.
1023 Gautschi, W.
1024 Waite, W. M.
1025 Lietzke, M. P.
1026 Stein, M. L.
1027 Newhall, N. S.
1028 Wilkins, R. D.
1029 Wengert, R. E.
1030 Breuer,M. A.
1031 Beyer, W. A.
1032 Belzer, J.
1033 Hellerman, H.
1034 Gatto, O. T.
1035 Mancino. O. G.
1036 Garwick, J. V.
1037 Priebe, K. B.
1038 McKeeman, W. M.
1039 Thacher Jr., H. C.
1040 Thacher Jr., H. C.
1041 Durstenfeld, R.
1042 Simoes Pereira, J. M. S.
1043 verSteeg, R. L.
1044 Kanner, H.
1045 Peng, K. C.
1046 Rosen, S.
1047 Ortega, J. M.
1048 Greenspan, D.
1049 Holt, J. F.
1050 Brian, W. J.
1051 Comfort, W. T.
1052 Wolfe, J. M.
1053 Hassitt, A.
1054 Batson, A. P.
1055 Simoes Pereira, J. M. S.
1056 Batty, M. A.
1057 Hoffman, I. A.
1058 Olynyk, F.
1059 Williams, J. W. J.
1060 Boothroyd, J.
1061 Boothroyd, J.
1062 Bailey, M. J.
1066 Aronofsky, J. S.
1067 Perry, B.
1068 Ackermann, A. F.
1069 Raichelson, E.
1070 Warrington, J. A.
1071 Rosenberg, A. M.
1072 Galler, B. A.
1073 MacLaren, M. D.
1074 Schumaker, L.
1075 Juelich, O. C.
1076 Wirth, N.
1077 Naur, P.
1078 Morelock, J. C.
1079 Simoes Pereira, J. M. S.
1080 Cyvin, S. J.
1081 Cyvin, S. J.
1082 Cyvin, S. J.
1083 Klerer, M.
1084 Shaw, C. J.
1087 Edmundson, H. P.
1088 Balistfy, J. L.
1089 Denison, A.
1090 Gautschi, W.
1091 Thacher Jr., H. C.
1092 Butler, H. S.
1093 Rotenberg, L. J.
1094 Shimrat, M.
1095 Griebrok, M.
1096 Stevens, D.
1097 Gladwin, H. T.
1098 Bobrow, D. G.
1099 Sterling, T. D.
1100 Atchison, W. F.
1101 Muller, D. E.
1102 Gorn, S.
1103 Korfhage, R. R.
1104 Forsythe, G. E.
1105 Arden, B. W.
1106 Perlis, A. J.
1107 Keenan, T. A.
1108 Wilcox, H. J.
1109 Thacher Jr., H. C.
1110 Forrington, C. V. D.
1111 Luther, H. A.
1112 Damerau, F. J.
1113 Zajac, E. E.
1114 Schwartz, E. S.
1115 Clampett Jr., H. A.
1116 Csima, J.
1117 McAlester, R. L.
1118 MacGowan, R. A.
1121 Barnett, M. P.
1122 Anderson, J. P.
1123 Gladfelter, G. W.
1124 Wells, M.
1125 Naur, P.
1126 Barton, S. P.
1127 Naur, P.
1128 Rotenberg, L. J.
1129 Gautschi, W.
1130 Gautschi, W.
1131 Ross, D. T.
1132 Perlis, A. J.
1133 Brooker, R. A.
1134 Allard, R. W.
1135 Lombardi, L. A.
1136 Steel Jr., T. B.
1137 Perlis, A. J.
1138 Iverson, K. E.
1139 Leavenworth, B. M.
1140 Irons, E. T.
1141 Floyd, R. W.
1142 Rose, G. F.
1143 Worsley, B. H.
1144 Robbins, D.
1145 Unger, S. H.
1146 Thacher Jr., H. C.
1147 Day, J. T.
1148 Miller, R. H.
1149 Garwick, J. V.
1150 Kahan, W.
1151 Comstock, D. R.
1152 Gregory, R. T.
1153 Marsaglia, G.
1154 Fischer, P. C.
1155 Slagle, J. R.
1156 Reilly, G. A.
1157 MacLaren, M. D.
1158 Anderson, J. P.
1159 Halpern, M. I.
1160 Wilson, D. M.
1161 McCormack, M. A.
1162 Graham, M. L.
1163 Olsen, T. M.
1164 Tucker, S. G.
1165 Benjamin, R. I.
1166 Dellert Jr., G. T.
1167 Gaines, R. S.
1168 Fredericks, D. S.
1169 Pomentale, T.
1170 McConlogue, K.
1171 Mueller, R. K.
1172 Pollack, S. L.
1173 Naur, P.
1174 Medlock, C. W.
1175 Scowen, R. S.
1176 Newhouse, A.
1177 Pfann, J.
1178 McKeeman, W. M.
1179 Rosen, S.
1180 Cohen, I.
1181 Neilsen, I. R.
1182 Rubenstein, H.
1183 Veronis, G.
1184 Knowlton, K.C.
1185 Fletcher, J. G.
1186 Lynch,W. C.
1187 Crosby, W. S.
1188 Chu, Y.
1189 Pike, M. C.
1190 Pike, M. C.
1191 Wirth, N.
1192 Stafford, J.
1193 Langmaack, H.
1194 Rubinoff, M.
1195 Canter, J. D.
1196 Klopfenstein, R. W.
1197 Henrich, P.
1198 Dijkstra, E. W.
1199 Hutchinson, G. K.
1200 Reily, E. D.
1201 Elliott, R. W.
1202 Pike, M. C.
1203 Pike, M. C.
1205 A Report from the ACM Curriculum Committee on Computer Science
1206 DeMaine, P. A. D.
1207 Dodd, G. G.
1208 Weingarten, F. W.
